Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,
10/12/2022,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.02,0.39,0.31,1.08,0.04,0.04,0.05,0.01,0.1,0.04,0.01,0.01,0.05,0.01,0.01,0.07,0.01,0.02,0.05,0.02,0.01,0.01,0.01,0.01,0.04,
11/12/2022,0.03,0.02,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.01,0.03,0.14,0.29,0.02,0.12,0.01,0.01,0.13,0.07,0.05,0.04,0.03,0.43,0.7,0.2,0.14,0.04,0.03,0.01,0.01,0.04,0.02,0.01,0.02,0.02,0.01,
12/12/2022,0.05,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.17,0.02,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.05,0.02,0.01,0.01,0.01,0.17,0.04,0.02,0.01,0.02,0.01,
13/12/2022,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.07,0.24,0.05,0.01,0.01,0.13,0.04,0.05,0.09,0.04,0.04,0.04,0.33,0.1,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.02,0.02,
14/12/2022,0.01,0.01,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.13,0.05,0.02,0.01,0.01,0.01,0.02,0.06,0.03,0.01,0.01,0.01,0.04,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.09,0.2,0.12,0.11,0.05,0.04,0.01,
15/12/2022,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.15,0.04,0.06,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,
16/12/2022,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.02,0.01,0.39,0.03,0.04,0.02,0.01,0.01,0.01,0.03,
17/12/2022,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.38,0.48,1.29,0.2,0.01,0.08,0.01,0.04,0.02,0.01,0.35,0.79,0.29,0.23,0.14,0.12,0.03,0.02,0.01,0.03,0.03,0.01,0.01,0.01,0.01,
18/12/2022,0.05,0.03,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.04,0.01,0.01,0.02,0.02,0.04,0.05,0.01,0.32,0.03,0.14,0.03,0.05,0.02,0.09,0.67,0.42,0.03,0.05,0.01,0.07,0.22,0.12,0.16,0.12,0.11,0.13,0.07,0.02,0.05,0.02,0.01,0.01,0.01,0.01,
19/12/2022,0.04,0.02,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,0.01,0.01,0.05,0.04,0.17,0.02,0.01,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.05,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.03,0.01,0.02,0.05,0.02,0.28,0.04,0.01,0.03,0.02,
